NAMESHORT_SB;NAME_SB;URL_SB;NAME_NORDNET;NAMESHORT_NORDNET;URL_NN;MARKET_ID;IDENTIFIER_ID;GROUP_BUY;PRICE;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;PRICE_CHANGE_PERCENT_AVERAGE;PRICE_CHANGE_PERCENT_MEDIAN;BUY_AVERAGE_FAILED_PERCENT_CHANGE;BUY_AVERAGE_SUCCESS_PERCENT_CHANGE;BUY_MEDIAN_FAILED_PERCENT_CHANGE;BUY_MEDIAN_SUCCESS_PERCENT_CHANGE;BUYANDFAIL_MEDIAN_KEYVALUE;BUYANDFAIL_AVERAGE_KEYVALUE;MEDIAN_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;AVERAGE_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;MEDIAN_BUY_INTRADAY-CLOSING_PERCENT_CHANGE;AVERAGE_BUY_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_MEDIAN_KEYVALUE_AND_MEDIAN_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_AVERAGE_KEYVALUE_AND_AVERAGE_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_MEDIAN_KEYVALUE_AND_MEDIAN_BUY_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_AVERAGE_KEYVALUE_AND_AVERAGE_BUY_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;HIGHEST_THROUGH_CURRENT_PERCENT_CHANGE;TRADE_PRICE;TRADE_TYPE;TRADE_TIME;TRADE_PERCENT_CHANGE
MSON-B.ST;MIDSONA B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MSON-B.ST;Midsona AB ser. B;MSON B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3922&marketid=11;11;3922;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;69;34;61.8;3.55;1.65;-1.41;7.19;-1.22;5.38;2.8;3.85;-0.81;-1.02;0.68;1.07;1.99;2.83;1.31;1.76;1;68.5;BUY;2018-06-15;
SOF-B.ST;SOFTRONIC B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SOF-B.ST;Softronic AB ser. B;SOF B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1546&marketid=11;11;1546;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;20.2;32;54.8;3.21;1.71;-1.39;7.24;-1.32;6.1;2.72;3.32;-0.48;-0.68;0.64;0.88;2.24;2.64;1.6;1.76;1;20.9;BUY;2018-06-20;
SOF-B.ST;SOFTRONIC B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SOF-B.ST;Softronic AB ser. B;SOF B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1546&marketid=11;11;1546;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;20.2;32;54.8;3.21;1.71;-1.39;7.24;-1.32;6.1;2.72;3.32;-0.48;-0.68;0.64;0.88;2.24;2.64;1.6;1.76;1;20.4;SELL;2018-06-25;-2.39
MSON-B.ST;MIDSONA B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MSON-B.ST;Midsona AB ser. B;MSON B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3922&marketid=11;11;3922;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;69;34;61.8;3.55;1.65;-1.41;7.19;-1.22;5.38;2.8;3.85;-0.81;-1.02;0.68;1.07;1.99;2.83;1.31;1.76;1;69.6;SELL;2018-06-26;1.61
BRIG.ST;BRIGHTER AB;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIG.ST;Brighter AB;BRIG;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=86375&marketid=11;11;86375;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;7.57;34;51.5;8.83;4.97;-4.2;19.84;-3.47;12.99;5;8.17;0.18;0.13;3.85;5.59;5.18;8.3;1.33;2.71;1.45;7.86;BUY;2018-06-26;
ENQ.ST;ENQUEST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENQ.ST;EnQuest PLC;ENQ;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=75073&marketid=11;11;75073;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;3.82;35;71.4;7.43;3.66;-2.56;10.79;-1.99;7.32;4.55;6.86;-0.84;-0.13;1.97;4.23;3.71;6.73;1.74;2.5;1.19;3.835;BUY;2018-06-26;
ENQ.ST;ENQUEST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENQ.ST;EnQuest PLC;ENQ;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=75073&marketid=11;11;75073;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;3.955;34;71.4;7.78;4.05;-2.56;11.15;-1.99;7.59;4.74;7.12;-0.87;-0.26;1.89;3.82;3.87;6.86;1.98;3.04;1.53;4.21;SELL;2018-06-27;9.78
SES.ST;SCAND ENVIRO SYS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SES.ST;Scandinavian Enviro Systems AB;SES;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101603&marketid=11;11;101603;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;0.938;34;52.9;11.94;4.34;-2.45;25.45;-1.85;12.9;5.94;12.29;-1.34;-3.3;1.33;4.65;4.6;8.99;3.27;4.34;3.62;0.936;BUY;2018-06-27;
47307.ST;NORDIC LEISURE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=47307.ST;Nordic Leisure AB;NLAB;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=35508&marketid=11;11;35508;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;21.05;32;58.1;6.51;3.46;-2.32;13.27;-1.59;9.85;5.02;6.7;-1.14;-1.55;1.44;2.05;3.88;5.15;2.44;3.1;1.3;20.8;BUY;2018-06-28;
SSAB-B.ST;SSAB B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SSAB-B.ST;SSAB AB ser. B;SSAB B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=301&marketid=11;11;301;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;34.25;38;65.8;4;2.6;-1.83;6.89;-1.24;5.16;2.89;3.83;-0.87;-1.18;0.84;1.44;2.02;2.65;1.18;1.21;1.06;34.29;BUY;2018-06-28;
SPOR.ST;SPORTAMORE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SPOR.ST;Sportamore AB;SPOR;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=90180&marketid=11;11;90180;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;97.1;33;68.8;5.47;3.7;-1.47;8.8;-1.23;5.13;3.05;5.5;-0.7;-1.38;0.74;1.38;2.35;4.12;1.61;2.74;1.38;98.7;BUY;2018-06-29;
BRIG.ST;BRIGHTER AB;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIG.ST;Brighter AB;BRIG;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=86375&marketid=11;11;86375;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;7.57;34;51.5;8.83;4.97;-4.2;19.84;-3.47;12.99;5;8.17;0.18;0.13;3.85;5.59;5.18;8.3;1.33;2.71;1.45;8.01;SELL;2018-06-29;1.91
QLRO.ST;QLIRO GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=QLRO.ST;Qliro Group AB;QLRO;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=79303&marketid=11;11;79303;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;13.58;37;57.9;4.64;2.69;-2.08;5.7;-1.23;5.63;2.7;2.39;-0.53;-1.13;1.03;1.7;2.17;1.26;1.14;-0.44;1.51;13.48;BUY;2018-07-03;
47307.ST;NORDIC LEISURE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=47307.ST;Nordic Leisure AB;NLAB;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=35508&marketid=11;11;35508;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;21.05;32;58.1;6.51;3.46;-2.32;13.27;-1.59;9.85;5.02;6.7;-1.14;-1.55;1.44;2.05;3.88;5.15;2.44;3.1;1.3;21;SELL;2018-07-04;0.96
QLRO.ST;QLIRO GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=QLRO.ST;Qliro Group AB;QLRO;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=79303&marketid=11;11;79303;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;13.58;37;57.9;4.64;2.69;-2.08;5.7;-1.23;5.63;2.7;2.39;-0.53;-1.13;1.03;1.7;2.17;1.26;1.14;-0.44;1.51;13.12;SELL;2018-07-05;-2.67
SPOR.ST;SPORTAMORE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SPOR.ST;Sportamore AB;SPOR;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=90180&marketid=11;11;90180;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;97.1;33;68.8;5.47;3.7;-1.47;8.8;-1.23;5.13;3.05;5.5;-0.7;-1.38;0.74;1.38;2.35;4.12;1.61;2.74;1.38;98.8;SELL;2018-07-05;0.1
NOTE.ST;NOTE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOTE.ST;NOTE AB;NOTE;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=25319&marketid=11;11;25319;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;20.85;31;67.7;4.24;2.06;-0.95;6.63;-0.96;5.12;3.07;4.09;-0.54;-0.79;0.72;1.02;2.53;3.3;1.81;2.28;1.33;20.7;BUY;2018-07-11;
